system has 32 processor(s). 
time elapsed: 15.471882 sec, perf: 16.158345 GFLOPS, cpu_id: 30
time elapsed: 15.953500 sec, perf: 15.670543 GFLOPS, cpu_id: 10
time elapsed: 15.876990 sec, perf: 15.746058 GFLOPS, cpu_id: 17
time elapsed: 15.659440 sec, perf: 15.964811 GFLOPS, cpu_id: 1
time elapsed: 15.602706 sec, perf: 16.022862 GFLOPS, cpu_id: 15
time elapsed: 15.573764 sec, perf: 16.052638 GFLOPS, cpu_id: 4
time elapsed: 15.542668 sec, perf: 16.084754 GFLOPS, cpu_id: 9
time elapsed: 15.827931 sec, perf: 15.794863 GFLOPS, cpu_id: 29
time elapsed: 15.633323 sec, perf: 15.991481 GFLOPS, cpu_id: 5
time elapsed: 15.564311 sec, perf: 16.062388 GFLOPS, cpu_id: 0
time elapsed: 15.969508 sec, perf: 15.654834 GFLOPS, cpu_id: 22
time elapsed: 15.648695 sec, perf: 15.975773 GFLOPS, cpu_id: 23
time elapsed: 15.623516 sec, perf: 16.001520 GFLOPS, cpu_id: 19
time elapsed: 15.552693 sec, perf: 16.074387 GFLOPS, cpu_id: 11
time elapsed: 15.565944 sec, perf: 16.060703 GFLOPS, cpu_id: 24
time elapsed: 15.587348 sec, perf: 16.038649 GFLOPS, cpu_id: 14
time elapsed: 15.466981 sec, perf: 16.163465 GFLOPS, cpu_id: 12
time elapsed: 15.583423 sec, perf: 16.042688 GFLOPS, cpu_id: 27
time elapsed: 16.011060 sec, perf: 15.614207 GFLOPS, cpu_id: 7
time elapsed: 15.624391 sec, perf: 16.000624 GFLOPS, cpu_id: 2
time elapsed: 15.781541 sec, perf: 15.841292 GFLOPS, cpu_id: 20
time elapsed: 15.977905 sec, perf: 15.646607 GFLOPS, cpu_id: 16
time elapsed: 16.034911 sec, perf: 15.590982 GFLOPS, cpu_id: 8
time elapsed: 15.560976 sec, perf: 16.065830 GFLOPS, cpu_id: 13
time elapsed: 15.862979 sec, perf: 15.759965 GFLOPS, cpu_id: 25
time elapsed: 16.165838 sec, perf: 15.464710 GFLOPS, cpu_id: 28
time elapsed: 15.798148 sec, perf: 15.824640 GFLOPS, cpu_id: 21
time elapsed: 16.058198 sec, perf: 15.568372 GFLOPS, cpu_id: 3
time elapsed: 15.700275 sec, perf: 15.923288 GFLOPS, cpu_id: 26
time elapsed: 16.070403 sec, perf: 15.556548 GFLOPS, cpu_id: 6
time elapsed: 15.876164 sec, perf: 15.746877 GFLOPS, cpu_id: 31
time elapsed: 16.213732 sec, perf: 15.419029 GFLOPS, cpu_id: 18
node07
system has 32 processor(s). 
time elapsed: 15.166118 sec, perf: 16.484113 GFLOPS, cpu_id: 10
time elapsed: 16.155370 sec, perf: 15.474730 GFLOPS, cpu_id: 4
time elapsed: 15.480325 sec, perf: 16.149532 GFLOPS, cpu_id: 16
time elapsed: 16.230943 sec, perf: 15.402679 GFLOPS, cpu_id: 25
time elapsed: 15.546838 sec, perf: 16.080441 GFLOPS, cpu_id: 5
time elapsed: 15.532832 sec, perf: 16.094940 GFLOPS, cpu_id: 31
time elapsed: 15.466767 sec, perf: 16.163688 GFLOPS, cpu_id: 11
time elapsed: 15.465891 sec, perf: 16.164603 GFLOPS, cpu_id: 12
time elapsed: 15.486450 sec, perf: 16.143144 GFLOPS, cpu_id: 3
time elapsed: 15.593854 sec, perf: 16.031957 GFLOPS, cpu_id: 14
time elapsed: 15.487071 sec, perf: 16.142497 GFLOPS, cpu_id: 17
time elapsed: 16.114962 sec, perf: 15.513534 GFLOPS, cpu_id: 23
time elapsed: 15.575834 sec, perf: 16.050505 GFLOPS, cpu_id: 30
time elapsed: 15.519007 sec, perf: 16.109279 GFLOPS, cpu_id: 2
time elapsed: 15.521776 sec, perf: 16.106405 GFLOPS, cpu_id: 29
time elapsed: 15.780402 sec, perf: 15.842436 GFLOPS, cpu_id: 13
time elapsed: 16.227555 sec, perf: 15.405894 GFLOPS, cpu_id: 0
time elapsed: 15.907051 sec, perf: 15.716301 GFLOPS, cpu_id: 22
time elapsed: 15.648866 sec, perf: 15.975598 GFLOPS, cpu_id: 6
time elapsed: 15.835328 sec, perf: 15.787484 GFLOPS, cpu_id: 28
time elapsed: 15.993666 sec, perf: 15.631188 GFLOPS, cpu_id: 19
time elapsed: 16.101725 sec, perf: 15.526286 GFLOPS, cpu_id: 26
time elapsed: 16.197501 sec, perf: 15.434480 GFLOPS, cpu_id: 24
time elapsed: 15.727805 sec, perf: 15.895416 GFLOPS, cpu_id: 18
time elapsed: 16.377368 sec, perf: 15.264968 GFLOPS, cpu_id: 21
time elapsed: 15.899949 sec, perf: 15.723321 GFLOPS, cpu_id: 1
time elapsed: 16.113750 sec, perf: 15.514700 GFLOPS, cpu_id: 27
time elapsed: 16.249279 sec, perf: 15.385298 GFLOPS, cpu_id: 9
time elapsed: 16.317312 sec, perf: 15.321151 GFLOPS, cpu_id: 8
time elapsed: 16.223440 sec, perf: 15.409802 GFLOPS, cpu_id: 15
time elapsed: 16.254062 sec, perf: 15.380771 GFLOPS, cpu_id: 7
time elapsed: 16.277183 sec, perf: 15.358923 GFLOPS, cpu_id: 20
node07
system has 32 processor(s). 
time elapsed: 15.691467 sec, perf: 15.932226 GFLOPS, cpu_id: 13
time elapsed: 15.622481 sec, perf: 16.002580 GFLOPS, cpu_id: 3
time elapsed: 15.529031 sec, perf: 16.098880 GFLOPS, cpu_id: 16
time elapsed: 15.621663 sec, perf: 16.003418 GFLOPS, cpu_id: 5
time elapsed: 15.539300 sec, perf: 16.088241 GFLOPS, cpu_id: 10
time elapsed: 15.841933 sec, perf: 15.780902 GFLOPS, cpu_id: 23
time elapsed: 15.697020 sec, perf: 15.926590 GFLOPS, cpu_id: 1
time elapsed: 15.557126 sec, perf: 16.069806 GFLOPS, cpu_id: 7
time elapsed: 15.671774 sec, perf: 15.952246 GFLOPS, cpu_id: 30
