gpu01
system has 32 processor(s). 
time elapsed: 19.627192 sec, perf: 12.737430 GFLOPS, cpu_id: 3
time elapsed: 19.141792 sec, perf: 13.060428 GFLOPS, cpu_id: 26
time elapsed: 19.144319 sec, perf: 13.058704 GFLOPS, cpu_id: 4
time elapsed: 19.273088 sec, perf: 12.971456 GFLOPS, cpu_id: 0
time elapsed: 19.083187 sec, perf: 13.100537 GFLOPS, cpu_id: 13
time elapsed: 19.280069 sec, perf: 12.966759 GFLOPS, cpu_id: 9
time elapsed: 19.070475 sec, perf: 13.109269 GFLOPS, cpu_id: 12
time elapsed: 19.294961 sec, perf: 12.956751 GFLOPS, cpu_id: 30
time elapsed: 19.529380 sec, perf: 12.801226 GFLOPS, cpu_id: 6
time elapsed: 18.995830 sec, perf: 13.160783 GFLOPS, cpu_id: 8
time elapsed: 19.175850 sec, perf: 13.037232 GFLOPS, cpu_id: 2
time elapsed: 19.303286 sec, perf: 12.951163 GFLOPS, cpu_id: 25
time elapsed: 19.141806 sec, perf: 13.060419 GFLOPS, cpu_id: 7
time elapsed: 19.687001 sec, perf: 12.698735 GFLOPS, cpu_id: 18
time elapsed: 19.128576 sec, perf: 13.069452 GFLOPS, cpu_id: 29
time elapsed: 19.460802 sec, perf: 12.846336 GFLOPS, cpu_id: 1
time elapsed: 19.286879 sec, perf: 12.962180 GFLOPS, cpu_id: 22
time elapsed: 19.087657 sec, perf: 13.097469 GFLOPS, cpu_id: 15
time elapsed: 19.113758 sec, perf: 13.079584 GFLOPS, cpu_id: 14
time elapsed: 19.192644 sec, perf: 13.025824 GFLOPS, cpu_id: 27
time elapsed: 19.308437 sec, perf: 12.947708 GFLOPS, cpu_id: 21
time elapsed: 19.674286 sec, perf: 12.706942 GFLOPS, cpu_id: 24
time elapsed: 19.465044 sec, perf: 12.843537 GFLOPS, cpu_id: 31
time elapsed: 19.559373 sec, perf: 12.781595 GFLOPS, cpu_id: 11
time elapsed: 19.228777 sec, perf: 13.001347 GFLOPS, cpu_id: 5
time elapsed: 19.125714 sec, perf: 13.071407 GFLOPS, cpu_id: 19
time elapsed: 19.337530 sec, perf: 12.928228 GFLOPS, cpu_id: 20
time elapsed: 19.583123 sec, perf: 12.766095 GFLOPS, cpu_id: 28
time elapsed: 19.729014 sec, perf: 12.671692 GFLOPS, cpu_id: 17
time elapsed: 19.502542 sec, perf: 12.818842 GFLOPS, cpu_id: 10
time elapsed: 19.407786 sec, perf: 12.881428 GFLOPS, cpu_id: 23
time elapsed: 19.626743 sec, perf: 12.737722 GFLOPS, cpu_id: 16
gpu01
system has 32 processor(s). 
time elapsed: 18.686455 sec, perf: 13.378675 GFLOPS, cpu_id: 18
time elapsed: 19.621836 sec, perf: 12.740908 GFLOPS, cpu_id: 22
time elapsed: 19.104578 sec, perf: 13.085869 GFLOPS, cpu_id: 11
time elapsed: 19.032429 sec, perf: 13.135476 GFLOPS, cpu_id: 23
time elapsed: 18.957098 sec, perf: 13.187673 GFLOPS, cpu_id: 21
time elapsed: 18.985986 sec, perf: 13.167607 GFLOPS, cpu_id: 3
time elapsed: 18.954020 sec, perf: 13.189814 GFLOPS, cpu_id: 25
time elapsed: 19.034711 sec, perf: 13.133900 GFLOPS, cpu_id: 6
time elapsed: 19.027178 sec, perf: 13.139100 GFLOPS, cpu_id: 31
