time elapsed: 16.296899 sec, perf: 15.340342 GFLOPS, cpu_id: 29
time elapsed: 16.730168 sec, perf: 14.943066 GFLOPS, cpu_id: 9
time elapsed: 16.106542 sec, perf: 15.521643 GFLOPS, cpu_id: 2
time elapsed: 16.328713 sec, perf: 15.310453 GFLOPS, cpu_id: 21
time elapsed: 16.549812 sec, perf: 15.105912 GFLOPS, cpu_id: 17
time elapsed: 16.710546 sec, perf: 14.960612 GFLOPS, cpu_id: 15
time elapsed: 16.258348 sec, perf: 15.376716 GFLOPS, cpu_id: 4
time elapsed: 16.698163 sec, perf: 14.971707 GFLOPS, cpu_id: 16
time elapsed: 16.616991 sec, perf: 15.044842 GFLOPS, cpu_id: 28
time elapsed: 16.336381 sec, perf: 15.303267 GFLOPS, cpu_id: 8
time elapsed: 16.446152 sec, perf: 15.201124 GFLOPS, cpu_id: 3
time elapsed: 16.370827 sec, perf: 15.271067 GFLOPS, cpu_id: 6
time elapsed: 16.609828 sec, perf: 15.051330 GFLOPS, cpu_id: 19
time elapsed: 16.335155 sec, perf: 15.304416 GFLOPS, cpu_id: 20
time elapsed: 16.591866 sec, perf: 15.067624 GFLOPS, cpu_id: 7
time elapsed: 16.298059 sec, perf: 15.339250 GFLOPS, cpu_id: 0
time elapsed: 16.273926 sec, perf: 15.361997 GFLOPS, cpu_id: 10
time elapsed: 16.667536 sec, perf: 14.999218 GFLOPS, cpu_id: 30
time elapsed: 16.316194 sec, perf: 15.322200 GFLOPS, cpu_id: 5
time elapsed: 16.582885 sec, perf: 15.075784 GFLOPS, cpu_id: 14
time elapsed: 16.741959 sec, perf: 14.932542 GFLOPS, cpu_id: 13
time elapsed: 16.746186 sec, perf: 14.928773 GFLOPS, cpu_id: 12
time elapsed: 16.687909 sec, perf: 14.980906 GFLOPS, cpu_id: 26
time elapsed: 16.510558 sec, perf: 15.141826 GFLOPS, cpu_id: 25
time elapsed: 16.530104 sec, perf: 15.123922 GFLOPS, cpu_id: 24
time elapsed: 16.359921 sec, perf: 15.281247 GFLOPS, cpu_id: 27
time elapsed: 16.829104 sec, perf: 14.855218 GFLOPS, cpu_id: 23
time elapsed: 16.580086 sec, perf: 15.078329 GFLOPS, cpu_id: 31
time elapsed: 16.783559 sec, perf: 14.895529 GFLOPS, cpu_id: 22
time elapsed: 16.753048 sec, perf: 14.922657 GFLOPS, cpu_id: 1
time elapsed: 17.186150 sec, perf: 14.546597 GFLOPS, cpu_id: 11
time elapsed: 17.694496 sec, perf: 14.128687 GFLOPS, cpu_id: 18
time elapsed: 15.584406 sec, perf: 16.041677 GFLOPS, cpu_id: 11
time elapsed: 15.551700 sec, perf: 16.075413 GFLOPS, cpu_id: 10
time elapsed: 15.609136 sec, perf: 16.016261 GFLOPS, cpu_id: 20
time elapsed: 15.477288 sec, perf: 16.152700 GFLOPS, cpu_id: 25
time elapsed: 16.030156 sec, perf: 15.595606 GFLOPS, cpu_id: 17
time elapsed: 15.521427 sec, perf: 16.106766 GFLOPS, cpu_id: 9
time elapsed: 15.482125 sec, perf: 16.147654 GFLOPS, cpu_id: 29
time elapsed: 15.867377 sec, perf: 15.755598 GFLOPS, cpu_id: 31
time elapsed: 15.574502 sec, perf: 16.051878 GFLOPS, cpu_id: 3
time elapsed: 15.528904 sec, perf: 16.099011 GFLOPS, cpu_id: 15
time elapsed: 15.772784 sec, perf: 15.850087 GFLOPS, cpu_id: 19
time elapsed: 15.501494 sec, perf: 16.127477 GFLOPS, cpu_id: 0
time elapsed: 15.506103 sec, perf: 16.122684 GFLOPS, cpu_id: 27
time elapsed: 15.493716 sec, perf: 16.135574 GFLOPS, cpu_id: 22
time elapsed: 15.875378 sec, perf: 15.747657 GFLOPS, cpu_id: 24
time elapsed: 15.991986 sec, perf: 15.632830 GFLOPS, cpu_id: 12
time elapsed: 15.661607 sec, perf: 15.962602 GFLOPS, cpu_id: 21
time elapsed: 15.680910 sec, perf: 15.942952 GFLOPS, cpu_id: 14
time elapsed: 16.055316 sec, perf: 15.571166 GFLOPS, cpu_id: 16
time elapsed: 15.782891 sec, perf: 15.839937 GFLOPS, cpu_id: 23
time elapsed: 15.702590 sec, perf: 15.920940 GFLOPS, cpu_id: 8
time elapsed: 16.005876 sec, perf: 15.619264 GFLOPS, cpu_id: 6
time elapsed: 16.010077 sec, perf: 15.615165 GFLOPS, cpu_id: 7
time elapsed: 15.811856 sec, perf: 15.810921 GFLOPS, cpu_id: 4
time elapsed: 16.213855 sec, perf: 15.418911 GFLOPS, cpu_id: 30
time elapsed: 16.190822 sec, perf: 15.440847 GFLOPS, cpu_id: 28
time elapsed: 16.075992 sec, perf: 15.551140 GFLOPS, cpu_id: 2
time elapsed: 15.749273 sec, perf: 15.873749 GFLOPS, cpu_id: 13
time elapsed: 16.097464 sec, perf: 15.530396 GFLOPS, cpu_id: 1
time elapsed: 16.428157 sec, perf: 15.217775 GFLOPS, cpu_id: 18
time elapsed: 16.253535 sec, perf: 15.381269 GFLOPS, cpu_id: 26
time elapsed: 16.949838 sec, perf: 14.749403 GFLOPS, cpu_id: 5
time elapsed: 15.745254 sec, perf: 15.877800 GFLOPS, cpu_id: 10
time elapsed: 15.306603 sec, perf: 16.332821 GFLOPS, cpu_id: 19
time elapsed: 15.543023 sec, perf: 16.084387 GFLOPS, cpu_id: 3
